District,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,,2036,,,2037,,,2038,,,2039,,,2040,,,2041,,,2042,,,2043,,
,Age Group,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Chitipa,Total,"234,784","113,677","121,107","239,019","115,779","123,240","243,252","117,881","125,371","247,514","120,000","127,514","251,830","122,148","129,682","256,197","124,326","131,871","260,584","126,517","134,067","264,965","128,708","136,257","269,368","130,915","138,453","273,826","133,154","140,672","278,328","135,419","142,909","282,840","137,696","145,144","287,321","139,962","147,359","291,801","142,234","149,567","296,305","144,523","151,782","300,825","146,828","153,997","305,327","149,130","156,197","309,777","151,410","158,367","314,204","153,686","160,518","318,632","155,970","162,662","323,050","158,252","164,798","327,427","160,522","166,905","331,734","162,761","168,973","335,992","164,980","171,012","340,227","167,193","173,034","344,435","169,400","175,035"
Chitipa,0-4,"34,184","17,011","17,173","34,095","17,043","17,052","34,063","17,106","16,957","34,134","17,226","16,908","34,360","17,431","16,930","34,769","17,736","17,033","35,070","17,903","17,168","35,381","18,076","17,305","35,698","18,253","17,445","36,025","18,435","17,590","36,358","18,621","17,737","36,686","18,806","17,881","37,000","18,983","18,017","37,297","19,153","18,145","37,572","19,311","18,261","37,821","19,456","18,365","38,047","19,590","18,457","38,255","19,716","18,540","38,444","19,832","18,612","38,612","19,938","18,674","38,762","20,035","18,727","38,895","20,124","18,770","39,007","20,203","18,803","39,100","20,273","18,827","39,176","20,335","18,841","39,238","20,390","18,848"
Chitipa,05-Sept,"35,139","17,428","17,711","35,257","17,528","17,729","35,285","17,565","17,719","35,225","17,545","17,680","35,077","17,469","17,608","34,825","17,331","17,494","34,762","17,380","17,383","34,752","17,457","17,295","34,844","17,591","17,253","35,093","17,811","17,282","35,527","18,133","17,393","35,850","18,314","17,535","36,180","18,501","17,680","36,517","18,691","17,826","36,864","18,886","17,977","37,214","19,084","18,130","37,558","19,280","18,279","37,887","19,468","18,419","38,199","19,648","18,551","38,489","19,818","18,671","38,753","19,975","18,778","38,994","20,121","18,873","39,216","20,258","18,958","39,419","20,386","19,033","39,599","20,502","19,097","39,761","20,610","19,151"
Chitipa,Oct-14,"31,270","15,321","15,949","31,994","15,714","16,279","32,631","16,083","16,548","33,161","16,409","16,752","33,557","16,669","16,889","33,802","16,846","16,956","33,921","16,947","16,974","33,951","16,988","16,963","33,895","16,972","16,924","33,751","16,900","16,851","33,505","16,768","16,737","33,437","16,813","16,624","33,419","16,886","16,533","33,497","17,014","16,484","33,724","17,223","16,501","34,127","17,531","16,596","34,424","17,703","16,721","34,728","17,880","16,849","35,038","18,061","16,978","35,357","18,247","17,110","35,678","18,435","17,243","35,996","18,623","17,373","36,299","18,804","17,495","36,585","18,976","17,609","36,849","19,138","17,710","37,086","19,288","17,798"
Chitipa,15-19,"26,767","12,930","13,838","27,345","13,161","14,184","27,927","13,405","14,522","28,527","13,671","14,856","29,168","13,977","15,191","29,863","14,333","15,530","30,548","14,706","15,842","31,148","15,054","16,093","31,642","15,360","16,281","32,005","15,603","16,403","32,223","15,767","16,456","32,320","15,861","16,459","32,334","15,898","16,436","32,265","15,881","16,383","32,110","15,812","16,298","31,859","15,685","16,174","31,777","15,727","16,050","31,739","15,793","15,947","31,794","15,909","15,884","31,988","16,102","15,886","32,348","16,385","15,963","32,609","16,541","16,068","32,875","16,702","16,173","33,146","16,866","16,281","33,425","17,034","16,390","33,706","17,205","16,500"
Chitipa,20-24,"21,886","10,574","11,311","22,357","10,764","11,593","22,894","10,987","11,906","23,471","11,231","12,241","24,054","11,475","12,579","24,619","11,708","12,910","25,164","11,934","13,230","25,710","12,169","13,541","26,270","12,424","13,846","26,866","12,715","14,151","27,508","13,050","14,458","28,139","13,401","14,738","28,687","13,727","14,960","29,134","14,013","15,122","29,459","14,239","15,220","29,644","14,390","15,254","29,718","14,477","15,241","29,712","14,510","15,202","29,629","14,493","15,136","29,467","14,428","15,039","29,215","14,309","14,906","29,120","14,346","14,773","29,065","14,404","14,661","29,093","14,507","14,586","29,248","14,679","14,570","29,554","14,933","14,622"
Chitipa,25-29,"18,630","8,933","9,697","18,993","9,101","9,891","19,329","9,249","10,080","19,659","9,386","10,273","20,017","9,530","10,487","20,424","9,693","10,732","20,897","9,885","11,012","21,432","10,108","11,323","22,004","10,350","11,654","22,578","10,591","11,986","23,131","10,820","12,311","23,665","11,043","12,622","24,198","11,273","12,925","24,743","11,521","13,221","25,318","11,802","13,516","25,936","12,125","13,811","26,540","12,461","14,079","27,061","12,773","14,288","27,485","13,047","14,438","27,789","13,263","14,526","27,961","13,409","14,552","28,027","13,493","14,534","28,017","13,526","14,491","27,932","13,511","14,421","27,773","13,450","14,323","27,525","13,336","14,188"
Chitipa,30-34,"14,230","6,713","7,517","14,636","6,904","7,731","15,082","7,115","7,968","15,544","7,332","8,212","15,986","7,540","8,446","16,385","7,727","8,658","16,738","7,888","8,850","17,065","8,028","9,036","17,386","8,160","9,226","17,731","8,297","9,434","18,121","8,450","9,671","18,571","8,631","9,940","19,077","8,839","10,237","19,616","9,065","10,552","20,157","9,288","10,869","20,677","9,500","11,177","21,178","9,705","11,473","21,678","9,917","11,761","22,187","10,145","12,042","22,723","10,403","12,320","23,298","10,699","12,598","23,859","11,008","12,850","24,343","11,296","13,048","24,738","11,548","13,189","25,024","11,750","13,274","25,189","11,888","13,302"
Chitipa,35-39,"11,304","5,267","6,037","11,593","5,384","6,209","11,868","5,499","6,369","12,146","5,620","6,526","12,449","5,755","6,694","12,791","5,911","6,880","13,178","6,089","7,089","13,603","6,285","7,318","14,042","6,487","7,555","14,463","6,681","7,782","14,844","6,856","7,988","15,183","7,008","8,175","15,498","7,142","8,356","15,807","7,266","8,541","16,139","7,396","8,743","16,512","7,541","8,971","16,940","7,710","9,230","17,419","7,904","9,515","17,930","8,113","9,817","18,441","8,321","10,120","18,934","8,519","10,416","19,411","8,711","10,700","19,886","8,909","10,977","20,368","9,123","11,246","20,876","9,363","11,512","21,418","9,639","11,778"
